               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.4015,              11.407,              2.7781,             0.14335,            0.053118,            0.031326,           0.0076076,                   0,                   0,                   0,            0.070037,           0.0033292,           0.0033292
                   1,              4.5681,              3.5804,              1.8303,             0.22949,             0.16107,             0.10568,            0.031509,                   0,                   0,                   0,            0.040024,           0.0066494,           0.0066494
                   2,              4.0677,              3.1182,              1.5797,             0.27901,             0.20746,             0.14585,            0.044425,                   0,                   0,                   0,           0.0099975,           0.0099563,           0.0099563
                   3,                3.87,              2.8493,              1.4659,             0.35292,             0.25378,              0.2113,            0.069556,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,              3.6649,               2.639,              1.4422,             0.36996,             0.25478,             0.22071,            0.069318,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,              3.5684,              2.5367,              1.4079,             0.47718,              0.2973,             0.29893,             0.10303,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              3.4929,              2.4373,              1.3879,             0.46927,             0.29895,             0.29354,            0.098309,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,              3.4232,              2.3651,              1.3641,             0.49235,             0.32329,             0.32632,             0.11457,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              3.3235,              2.2666,              1.3624,             0.51597,             0.29845,             0.31285,             0.11044,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              3.3281,              2.2624,              1.3527,             0.53393,             0.33531,             0.34992,             0.12005,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,               3.249,              2.1916,              1.3371,             0.53793,             0.34761,             0.35979,             0.13279,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,               3.235,              2.1661,               1.327,             0.53451,             0.35922,             0.37497,              0.1383,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              3.2166,              2.1677,              1.3277,             0.53275,             0.33445,             0.35476,              0.1309,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,              3.1708,              2.0924,              1.3137,             0.54749,             0.36767,             0.38747,             0.14734,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              3.1357,              2.0591,              1.3162,             0.57211,              0.3733,             0.39374,             0.14648,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              3.0985,                2.02,              1.3043,              0.5908,             0.38199,             0.41196,             0.15743,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,              3.0919,              2.0219,              1.3016,             0.57515,             0.38206,             0.41146,             0.15733,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,              3.0902,              2.0068,              1.3107,             0.57411,             0.38149,             0.41128,             0.15861,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,              3.0805,              2.0082,              1.2987,             0.59015,             0.38521,             0.41981,             0.16164,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,              3.0709,               1.992,              1.2948,             0.56435,             0.39001,             0.41493,             0.15984,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,              3.0325,               1.956,               1.286,             0.59268,             0.39316,             0.43112,             0.16895,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,               3.004,               1.926,              1.2871,              0.6047,             0.38471,             0.42481,             0.16543,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,              3.0301,              1.9293,              1.2723,              0.5903,             0.40051,             0.43399,             0.17175,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,              2.9859,              1.9035,              1.2862,             0.59635,             0.40268,             0.44059,             0.17448,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,              2.9847,              1.9134,              1.2848,             0.62724,             0.38786,             0.43907,             0.17262,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,              2.9416,              1.8508,               1.276,             0.61528,             0.40849,             0.44965,             0.17917,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,              2.9719,              1.8914,              1.2741,              0.6067,             0.40361,             0.44348,                0.18,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,              2.9776,              1.8912,              1.2668,             0.61073,             0.41177,             0.44828,             0.17658,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,              2.9426,              1.8582,              1.2672,             0.61256,             0.41969,             0.45933,             0.18594,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,              2.9492,              1.8592,              1.2754,             0.63075,             0.42315,              0.4631,             0.18554,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,              2.9229,              1.8411,              1.2701,             0.62112,             0.41986,             0.46317,             0.18781,                   0,                   0,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,              2.9267,              1.8373,              1.2641,             0.62566,             0.41828,             0.45989,             0.18639,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  32,               2.905,              1.8198,              1.2706,             0.62526,             0.42329,             0.46566,             0.18746,                   0,                   0,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,              2.8974,                1.81,               1.259,             0.61297,             0.42229,             0.46267,             0.19133,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
